threshold,precision,recall,f1
0.2,0.625,1.0,0.7692307692307693
0.22,0.6329113924050633,1.0,0.7751937984496124
0.24,0.6666666666666666,1.0,0.8
0.26,0.6666666666666666,1.0,0.8
0.27999999999999997,0.704225352112676,1.0,0.8264462809917356
0.29999999999999993,0.7313432835820896,0.98,0.8376068376068376
0.31999999999999995,0.746031746031746,0.94,0.831858407079646
0.33999999999999997,0.7457627118644068,0.88,0.8073394495412844
0.35999999999999993,0.7636363636363637,0.84,0.8
0.3799999999999999,0.7659574468085106,0.72,0.7422680412371134
0.3999999999999999,0.7954545454545454,0.7,0.7446808510638298
0.41999999999999993,0.7894736842105263,0.6,0.6818181818181818
0.4399999999999999,0.8125,0.52,0.6341463414634146
0.4599999999999999,0.8387096774193549,0.52,0.6419753086419753
0.47999999999999987,0.8666666666666667,0.52,0.65
0.49999999999999983,0.8620689655172413,0.5,0.6329113924050633
0.5199999999999998,0.8571428571428571,0.48,0.6153846153846154
0.5399999999999998,0.8518518518518519,0.46,0.5974025974025974
0.5599999999999998,0.8636363636363636,0.38,0.5277777777777778
0.5799999999999998,0.8571428571428571,0.36,0.5070422535211268
0.5999999999999999,0.7142857142857143,0.1,0.17543859649122806
0.6199999999999999,0.8333333333333334,0.1,0.17857142857142858
0.6399999999999998,0.8333333333333334,0.1,0.17857142857142858
0.6599999999999997,1.0,0.1,0.18181818181818182
0.6799999999999997,1.0,0.02,0.0392156862745098
0.6999999999999997,0.0,0.0,0.0
0.7199999999999998,0.0,0.0,0.0
0.7399999999999998,0.0,0.0,0.0
0.7599999999999998,0.0,0.0,0.0
0.7799999999999998,0.0,0.0,0.0
0.7999999999999996,0.0,0.0,0.0
