model,label,precision,recall,f1_score,support
Logistic Regression,0,0.9954954954954955,0.8911290322580645,0.9404255319148936,248.0
Logistic Regression,1,0.6447368421052632,0.98,0.7777777777777778,50.0
Logistic Regression,macro avg,0.8201161688003793,0.9355645161290322,0.8591016548463357,298.0
Logistic Regression,weighted avg,0.9366433724434432,0.9060402684563759,0.9131356402811495,298.0
Random Forest,0,0.9956709956709957,0.9274193548387096,0.9603340292275574,248.0
Random Forest,1,0.7313432835820896,0.98,0.8376068376068376,50.0
Random Forest,macro avg,0.8635071396265426,0.9537096774193548,0.8989704334171975,298.0
Random Forest,weighted avg,0.9513207084077564,0.9362416107382551,0.9397422185529399,298.0
